id,project_id,size,dimensions,start_price_inr,note,display_order,is_active
40000000-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,20×30,600 sq. ft.,960000,,0,true
40000000-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000001,24×40,960 sq. ft.,1536000,,1,true
40000000-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000001,30×40,1200 sq. ft.,1920000,Most popular,2,true
40000000-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000001,30×50,1500 sq. ft.,2400000,,3,true
40000000-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000002,30×40,1200 sq. ft.,2100000,,0,true
40000000-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000002,30×50,1500 sq. ft.,2700000,Corner + garden,1,true
40000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000003,20×30,600 sq. ft.,960000,Launch price,0,true
40000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000003,24×40,960 sq. ft.,1536000,Launch price,1,true
40000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000004,24×40,960 sq. ft.,1600000,,0,true
40000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000004,30×40,1200 sq. ft.,2050000,Green-facing +,1,true
40000000-0000-4000-8000-000000000011,10000000-0000-4000-8000-000000000005,20×30,600 sq. ft.,1250000,Resale on request,0,true
40000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000006,35×50,1750 sq. ft.,2800000,,0,true
40000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000006,40×50,2000 sq. ft.,3200000,Corner +,1,true
