id,project_id,role,sort_order,src,alt,caption,is_active
20000000-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,hero,0,,Signature City master plan near Sulur,Layout overview,true
20000000-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000001,hero,1,,Avenue view of Signature City near Sulur,Avenue view,true
20000000-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000001,gallery,0,,Signature City master plan,Master layout,true
20000000-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000001,gallery,1,,Avenue view of Signature City,The avenues,true
20000000-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000001,gallery,2,,Signature City grand arch,Grand arch,true
20000000-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000001,gallery,3,,Landscaped park within Signature City,Central green,true
20000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000001,gallery,4,,Solar street lights along Signature City roads,Solar-lit streets,true
20000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000001,gallery,5,,Kids play area in Signature City,Play area,true
20000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000001,master_plan,0,,Signature City master plan diagram,Master plan,true
20000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000002,hero,0,,The Golden Grove premium block,Premium block,true
20000000-0000-4000-8000-000000000011,10000000-0000-4000-8000-000000000002,gallery,0,,The Golden Grove garden-facing plots,Garden frontage,true
20000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000002,gallery,1,,Corner plot with double access,Corner plots,true
20000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000002,gallery,2,,Parks beside The Golden Grove,Parks,true
20000000-0000-4000-8000-000000000014,10000000-0000-4000-8000-000000000002,gallery,3,,Mature avenue trees around the block,Avenue trees,true
20000000-0000-4000-8000-000000000015,10000000-0000-4000-8000-000000000002,master_plan,0,,The Golden Grove block plan,Block plan — The Golden Grove,true
20000000-0000-4000-8000-000000000016,10000000-0000-4000-8000-000000000003,hero,0,,Heritage Avenues upcoming phase,Launching phase,true
20000000-0000-4000-8000-000000000017,10000000-0000-4000-8000-000000000003,gallery,0,,Heritage Avenues tree-lined street,Avenue view,true
20000000-0000-4000-8000-000000000018,10000000-0000-4000-8000-000000000003,gallery,1,,Perimeter landscaping of Heritage Avenues,Perimeter,true
20000000-0000-4000-8000-000000000019,10000000-0000-4000-8000-000000000003,gallery,2,,Community park concept,Park concept,true
20000000-0000-4000-8000-000000000020,10000000-0000-4000-8000-000000000003,master_plan,0,,Heritage Avenues master plan,Master plan — Heritage Avenues,true
20000000-0000-4000-8000-000000000021,10000000-0000-4000-8000-000000000004,hero,0,,Crown Meadows open plots,Open plots,true
20000000-0000-4000-8000-000000000022,10000000-0000-4000-8000-000000000004,gallery,0,,Crown Meadows green-facing plots,Green frontage,true
20000000-0000-4000-8000-000000000023,10000000-0000-4000-8000-000000000004,gallery,1,,Wide 30 ft internal road,Wide roads,true
20000000-0000-4000-8000-000000000024,10000000-0000-4000-8000-000000000004,gallery,2,,Central park of Crown Meadows,Central park,true
20000000-0000-4000-8000-000000000025,10000000-0000-4000-8000-000000000004,master_plan,0,,Crown Meadows master plan,Master plan — Crown Meadows,true
20000000-0000-4000-8000-000000000026,10000000-0000-4000-8000-000000000005,hero,0,,Ivory Courts established community,Established block,true
20000000-0000-4000-8000-000000000027,10000000-0000-4000-8000-000000000005,gallery,0,,Ivory Courts homes under construction,Homes rising,true
20000000-0000-4000-8000-000000000028,10000000-0000-4000-8000-000000000005,gallery,1,,Ivory Courts streetscape,Streetscape,true
20000000-0000-4000-8000-000000000029,10000000-0000-4000-8000-000000000005,master_plan,0,,Ivory Courts master plan,Master plan — Ivory Courts,true
20000000-0000-4000-8000-000000000030,10000000-0000-4000-8000-000000000006,hero,0,,The Estate Block exclusive plots,Exclusive block,true
20000000-0000-4000-8000-000000000031,10000000-0000-4000-8000-000000000006,gallery,0,,The Estate Block large frontage,Grand frontages,true
20000000-0000-4000-8000-000000000032,10000000-0000-4000-8000-000000000006,gallery,1,,Private service road of the Estate Block,Service road,true
20000000-0000-4000-8000-000000000033,10000000-0000-4000-8000-000000000006,gallery,2,,Estate parks,Estate parks,true
20000000-0000-4000-8000-000000000034,10000000-0000-4000-8000-000000000006,master_plan,0,,The Estate Block plan,Block plan — The Estate Block,true
