id,project_id,name,category,distance,display_order,is_active
60000000-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,Sulur Bus Stop,Transit,2 min,0,true
60000000-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000001,Vidya Vikas Matric Hr Sec School,School,3 min,1,true
60000000-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000001,Suguna Vidyalaya Matric Hr Sec School,School,4 min,2,true
60000000-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000001,Sulur Government Hospital,Hospital,5 min,3,true
60000000-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000001,Hindusthan College of Engineering,School,8 min,4,true
60000000-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000001,Coimbatore International Airport,Transit,20 min,5,true
60000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000002,Vidya Vikas Matric Hr Sec School,School,3 min,0,true
60000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000002,Sulur Government Hospital,Hospital,5 min,1,true
60000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000002,Sulur Daily Market,Shopping,4 min,2,true
60000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000002,Sulur Railway Station,Transit,10 min,3,true
60000000-0000-4000-8000-000000000011,10000000-0000-4000-8000-000000000002,Kumaraguru College of Technology,School,12 min,4,true
60000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000003,Sulur Bus Stop,Transit,2 min,0,true
60000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000003,Suguna Vidyalaya Matric Hr Sec School,School,4 min,1,true
60000000-0000-4000-8000-000000000014,10000000-0000-4000-8000-000000000003,Sulur Daily Market,Shopping,4 min,2,true
60000000-0000-4000-8000-000000000015,10000000-0000-4000-8000-000000000003,Hindusthan College of Engineering,School,8 min,3,true
60000000-0000-4000-8000-000000000016,10000000-0000-4000-8000-000000000003,Coimbatore International Airport,Transit,20 min,4,true
60000000-0000-4000-8000-000000000017,10000000-0000-4000-8000-000000000004,Sulur Daily Market,Shopping,4 min,0,true
60000000-0000-4000-8000-000000000018,10000000-0000-4000-8000-000000000004,Vidya Vikas Matric Hr Sec School,School,3 min,1,true
60000000-0000-4000-8000-000000000019,10000000-0000-4000-8000-000000000004,Sulur Government Hospital,Hospital,5 min,2,true
60000000-0000-4000-8000-000000000020,10000000-0000-4000-8000-000000000004,Sulur Railway Station,Transit,10 min,3,true
60000000-0000-4000-8000-000000000021,10000000-0000-4000-8000-000000000004,"KG Hospital, Coimbatore",Hospital,11 min,4,true
60000000-0000-4000-8000-000000000022,10000000-0000-4000-8000-000000000005,Sulur Bus Stop,Transit,2 min,0,true
60000000-0000-4000-8000-000000000023,10000000-0000-4000-8000-000000000005,Suguna Vidyalaya Matric Hr Sec School,School,4 min,1,true
60000000-0000-4000-8000-000000000024,10000000-0000-4000-8000-000000000005,Sulur Daily Market,Shopping,4 min,2,true
60000000-0000-4000-8000-000000000025,10000000-0000-4000-8000-000000000005,Coimbatore Junction,Transit,16 min,3,true
60000000-0000-4000-8000-000000000026,10000000-0000-4000-8000-000000000006,Sulur Government Hospital,Hospital,5 min,0,true
60000000-0000-4000-8000-000000000027,10000000-0000-4000-8000-000000000006,Sulur Railway Station,Transit,10 min,1,true
60000000-0000-4000-8000-000000000028,10000000-0000-4000-8000-000000000006,"KG Hospital, Coimbatore",Hospital,11 min,2,true
60000000-0000-4000-8000-000000000029,10000000-0000-4000-8000-000000000006,Coimbatore Junction,Transit,16 min,3,true
60000000-0000-4000-8000-000000000030,10000000-0000-4000-8000-000000000006,Brookefields Mall,Shopping,22 min,4,true
