id,project_id,question,answer,display_order,is_active
70000000-0000-4000-8000-000000000001,,Is Signature City DTCP approved?,"Yes. Signature City is a DTCP approved residential layout near Sulur, Coimbatore. All approvals and layout documents are available for verification at the site office and during a scheduled visit.",0,true
70000000-0000-4000-8000-000000000002,,Can I take a bank loan for a plot?,Absolutely. We assist with documentation for leading banks and housing finance companies. Loan eligibility is evaluated on a case-by-case basis.,1,true
70000000-0000-4000-8000-000000000003,,What is the plot size range available?,"Plots range from 600 sq. ft. to 2035 sq. ft. across our phases, including premium corner and garden-facing options in select blocks.",2,true
70000000-0000-4000-8000-000000000004,,Do you offer flexible payment plans?,"Yes, we offer structured payment plans tailored to investors and end-users. Speak with our sales team to understand what works best for you.",3,true
70000000-0000-4000-8000-000000000005,,Can NRIs purchase plots here?,Yes. NRIs can purchase plots subject to applicable regulations. Our team assists with documentation and remote site visits via video call.,4,true
70000000-0000-4000-8000-000000000006,,When can I start construction on my plot?,Construction guidelines are shared at the time of purchase. Plot holders can begin building as per the community's approved norms.,5,true
70000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000001,Is Signature City DTCP approved?,"Yes — the complete 12-acre layout is DTCP approved, and every plot carries a clear title with individual sale deeds.",0,true
70000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000001,Can I get a home loan for a plot here?,"Absolutely. Plots are bank-loan eligible, and our team can connect you with partner lenders for a quick pre-approval.",1,true
70000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000001,What are the internal amenities?,"A gated layout with 24×7 security, grand arch, compound wall, black top roads, parks, solar street lights, avenue trees and groundwater.",2,true
70000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000001,When can construction begin?,Immediately after registration and approval of your building plan — most owners break ground within 90 days of purchase.,3,true
70000000-0000-4000-8000-000000000011,10000000-0000-4000-8000-000000000002,Why is The Golden Grove priced higher?,"Garden-facing and corner plots are the most scarce — and the most desired — layouts in the estate, with premium frontage and greater privacy.",0,true
70000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000002,How many plots are in the block?,The block is intentionally small — under 40 plots — to keep the community intimate and the landscaping generous.,1,true
70000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000002,Are the plots bank-loan eligible?,"Yes, every plot in The Golden Grove is DTCP approved and eligible for home loans.",2,true
70000000-0000-4000-8000-000000000014,10000000-0000-4000-8000-000000000003,When does Heritage Avenues launch?,Pre-sales are open now at launch pricing. The formal launch event is scheduled within the next quarter.,0,true
70000000-0000-4000-8000-000000000015,10000000-0000-4000-8000-000000000003,What does early-bird pricing include?,Early registrations lock the base launch price and get first pick of garden-facing plots.,1,true
70000000-0000-4000-8000-000000000016,10000000-0000-4000-8000-000000000003,Is the layout approved yet?,Yes — the full layout is DTCP approved before any plot is offered for sale.,2,true
70000000-0000-4000-8000-000000000017,10000000-0000-4000-8000-000000000004,What makes Crown Meadows different?,Its green-facing orientation and wide roads — a lower-density block built around a central landscaped park.,0,true
70000000-0000-4000-8000-000000000018,10000000-0000-4000-8000-000000000004,Are plots available immediately?,"Yes, a limited number of green-facing and standard plots are available now with clear titles.",1,true
70000000-0000-4000-8000-000000000019,10000000-0000-4000-8000-000000000004,Can I book a site visit?,Certainly — book a site visit and we'll walk you through the park and available frontages.,2,true
70000000-0000-4000-8000-000000000020,10000000-0000-4000-8000-000000000005,Are there any plots left in Ivory Courts?,The block is fully sold. We occasionally see resale plots — join the interest list to hear about them first.,0,true
70000000-0000-4000-8000-000000000021,10000000-0000-4000-8000-000000000005,Can you help find a resale plot?,Yes — register your interest and our team will connect you with verified resale listings when they appear.,1,true
70000000-0000-4000-8000-000000000022,10000000-0000-4000-8000-000000000006,How many plots are in The Estate Block?,Fewer than 20 — an intentionally exclusive release of the largest plots in Signature City.,0,true
70000000-0000-4000-8000-000000000023,10000000-0000-4000-8000-000000000006,What is the minimum build size?,There's no enforced minimum; the frontages are designed for grand homes with generous setbacks.,1,true
70000000-0000-4000-8000-000000000024,10000000-0000-4000-8000-000000000006,Are these plots bank-loan eligible?,Yes — each plot carries a clear DTCP-approved title and qualifies for bank finance.,2,true
